Date,Time,Day Name,Number of Payments,Number of Violations,Violation Perc.,Traffic,Facility,Peak Hour,Revenues Class
1/1/2025,16:00,Wednesday,4629,204,4.22%,4833,GWB,Yes,High
1/1/2025,17:00,Wednesday,4586,192,4.02%,4778,GWB,Yes,High
1/1/2025,18:00,Wednesday,4379,183,4.01%,4562,GWB,Yes,High
1/1/2025,15:00,Wednesday,5386,197,3.53%,5583,GWB,No,High
1/1/2025,14:00,Wednesday,5340,187,3.38%,5527,GWB,No,High
1/1/2025,19:00,Wednesday,4047,176,4.17%,4223,GWB,Yes,High
1/1/2025,12:00,Wednesday,4956,156,3.05%,5112,GWB,No,High
1/1/2025,13:00,Wednesday,5167,180,3.37%,5347,GWB,No,High
1/1/2025,20:00,Wednesday,3523,154,4.19%,3677,GWB,Yes,High
1/1/2025,11:00,Wednesday,3852,129,3.24%,3981,GWB,No,High
1/1/2025,21:00,Wednesday,2767,135,4.65%,2902,GWB,No,High
1/1/2025,10:00,Wednesday,2838,94,3.21%,2932,GWB,Yes,High
1/1/2025,16:00,Wednesday,3190,127,3.83%,3317,GWB,Yes,High
1/1/2025,16:00,Wednesday,2926,112,3.69%,3038,Goethals,Yes,High
1/1/2025,17:00,Wednesday,3051,164,5.10%,3215,GWB,Yes,High
1/1/2025,14:00,Wednesday,3451,141,3.93%,3592,GWB,No,High
1/1/2025,13:00,Wednesday,3403,134,3.79%,3537,GWB,No,High
1/1/2025,17:00,Wednesday,2787,121,4.16%,2908,Goethals,Yes,High
1/1/2025,18:00,Wednesday,2913,156,5.08%,3069,GWB,Yes,High
1/1/2025,14:00,Wednesday,3170,108,3.29%,3278,Goethals,No,High
1/1/2025,15:00,Wednesday,3149,92,2.84%,3241,Goethals,No,High
1/1/2025,18:00,Wednesday,2641,117,4.24%,2758,Goethals,Yes,High
1/1/2025,22:00,Wednesday,2002,117,5.52%,2119,GWB,No,High
1/1/2025,19:00,Wednesday,2665,137,4.89%,2802,GWB,Yes,Medium
1/1/2025,23:00,Wednesday,1633,97,5.61%,1730,GWB,No,Medium
1/1/2025,1:00,Wednesday,2719,152,5.29%,2871,GWB,No,Medium
1/1/2025,16:00,Wednesday,2543,99,3.75%,2642,Lincoln,Yes,Medium
1/1/2025,15:00,Wednesday,3029,146,4.60%,3175,GWB,No,Medium
1/1/2025,12:00,Wednesday,3036,127,4.02%,3163,GWB,No,Medium
1/1/2025,19:00,Wednesday,2376,72,2.94%,2448,Goethals,Yes,Medium
1/1/2025,13:00,Wednesday,2798,100,3.45%,2898,Goethals,No,Medium
1/1/2025,15:00,Wednesday,2800,97,3.35%,2897,Lincoln,No,Medium
1/1/2025,9:00,Wednesday,1943,69,3.43%,2012,GWB,Yes,Medium
1/1/2025,20:00,Wednesday,2466,135,5.19%,2601,GWB,Yes,Medium
1/1/2025,17:00,Wednesday,2346,98,4.01%,2444,Lincoln,Yes,Medium
1/1/2025,14:00,Wednesday,2709,99,3.53%,2808,Lincoln,No,Medium
1/1/2025,20:00,Wednesday,2082,107,4.89%,2189,Goethals,Yes,Medium
1/1/2025,11:00,Wednesday,2629,84,3.10%,2713,GWB,No,Medium
1/1/2025,2:00,Wednesday,2284,105,4.40%,2389,GWB,No,Medium
1/1/2025,18:00,Wednesday,2174,87,3.85%,2261,Lincoln,Yes,Medium
1/1/2025,16:00,Wednesday,2159,77,3.44%,2236,Holland,Yes,Medium
1/1/2025,0:00,Wednesday,2049,105,4.87%,2154,GWB,No,Medium
1/1/2025,17:00,Wednesday,2124,97,4.37%,2221,Holland,Yes,Medium
1/1/2025,13:00,Wednesday,2366,82,3.35%,2448,Lincoln,No,Medium
1/1/2025,12:00,Wednesday,2359,72,2.96%,2431,Goethals,No,Medium
1/1/2025,16:00,Wednesday,2069,42,1.99%,2111,Outerbridge,Yes,Medium
1/1/2025,15:00,Wednesday,2313,51,2.16%,2364,Outerbridge,No,Medium
1/1/2025,10:00,Wednesday,2033,86,4.06%,2119,GWB,Yes,Medium
1/1/2025,13:00,Wednesday,2340,66,2.74%,2406,Holland,No,Medium
1/1/2025,14:00,Wednesday,2287,68,2.89%,2355,Outerbridge,No,Medium
1/1/2025,13:00,Wednesday,2263,46,1.99%,2309,Outerbridge,No,Medium
1/1/2025,18:00,Wednesday,1940,72,3.58%,2012,Outerbridge,Yes,Medium
1/1/2025,17:00,Wednesday,1916,56,2.84%,1972,Outerbridge,Yes,Medium
1/1/2025,19:00,Wednesday,1842,74,3.86%,1916,Lincoln,Yes,Medium
1/1/2025,15:00,Wednesday,2206,81,3.54%,2287,Holland,No,Medium
1/1/2025,19:00,Wednesday,1849,58,3.04%,1907,Outerbridge,Yes,Medium
1/1/2025,14:00,Wednesday,2190,106,4.62%,2296,Holland,No,Medium
1/1/2025,12:00,Wednesday,2180,77,3.41%,2257,Holland,No,Medium
1/1/2025,12:00,Wednesday,2127,76,3.45%,2203,Lincoln,No,Medium
1/1/2025,18:00,Wednesday,1838,103,5.31%,1941,Holland,Yes,Medium
1/1/2025,21:00,Wednesday,2107,126,5.64%,2233,GWB,No,Medium
1/1/2025,21:00,Wednesday,1788,97,5.15%,1885,Goethals,No,Medium
1/1/2025,11:00,Wednesday,1973,59,2.90%,2032,Goethals,No,Medium
1/1/2025,11:00,Wednesday,1992,77,3.72%,2069,Lincoln,No,Medium
1/1/2025,12:00,Wednesday,1955,56,2.78%,2011,Outerbridge,No,Medium
1/1/2025,3:00,Wednesday,1527,107,6.55%,1634,GWB,No,Medium
1/1/2025,20:00,Wednesday,1565,48,2.98%,1613,Outerbridge,Yes,Medium
1/1/2025,11:00,Wednesday,1922,65,3.27%,1987,Holland,No,Medium
1/1/2025,19:00,Wednesday,1648,95,5.45%,1743,Holland,Yes,Medium
1/1/2025,8:00,Wednesday,1173,69,5.56%,1242,GWB,Yes,Medium
1/1/2025,10:00,Wednesday,1522,46,2.93%,1568,Lincoln,Yes,Medium
1/1/2025,7:00,Wednesday,1065,46,4.14%,1111,GWB,Yes,Medium
1/1/2025,20:00,Wednesday,1548,101,6.12%,1649,Holland,Yes,Medium
1/1/2025,10:00,Wednesday,1447,41,2.76%,1488,Goethals,Yes,Medium
1/1/2025,10:00,Wednesday,1516,42,2.70%,1558,Holland,Yes,Medium
1/1/2025,20:00,Wednesday,1395,68,4.65%,1463,Lincoln,Yes,Medium
1/1/2025,6:00,Wednesday,1055,61,5.47%,1116,GWB,Yes,Medium
1/1/2025,22:00,Wednesday,1409,46,3.16%,1455,Goethals,No,Medium
1/1/2025,22:00,Wednesday,1704,105,5.80%,1809,GWB,No,Medium
1/1/2025,4:00,Wednesday,1189,74,5.86%,1263,GWB,No,Medium
1/1/2025,9:00,Wednesday,1457,54,3.57%,1511,GWB,Yes,Medium
1/1/2025,11:00,Wednesday,1581,33,2.04%,1614,Outerbridge,No,Medium
1/1/2025,21:00,Wednesday,1582,78,4.70%,1660,Holland,No,Medium
1/1/2025,2:00,Wednesday,1567,73,4.45%,1640,Holland,No,Medium
1/1/2025,5:00,Wednesday,978,41,4.02%,1019,GWB,No,Medium
1/1/2025,1:00,Wednesday,1528,111,6.77%,1639,GWB,No,Medium
1/1/2025,3:00,Wednesday,1482,59,3.83%,1541,Holland,No,Low
1/1/2025,1:00,Wednesday,1401,38,2.64%,1439,Outerbridge,No,Low
1/1/2025,1:00,Wednesday,1420,71,4.76%,1491,Holland,No,Low
1/1/2025,9:00,Wednesday,1135,27,2.32%,1162,Lincoln,Yes,Low
1/1/2025,6:00,Wednesday,1220,64,4.98%,1284,GWB,Yes,Low
1/1/2025,23:00,Wednesday,1085,47,4.15%,1132,Goethals,No,Low
1/1/2025,21:00,Wednesday,1256,62,4.70%,1318,Lincoln,No,Low
